"partido","MR","RP","legis","year"
"dependiente",1,NA,"LXVII",2018
"Morena",5,7,"LXVII",2018
"PAN",NA,1,"LXVII",2018
"PCU",3,1,"LXVII",2018
"PES",4,NA,"LXVII",2018
"PMC",NA,2,"LXVII",2018
"PRD",NA,1,"LXVII",2018
"PRI",2,3,"LXVII",2018
"PT",4,1,"LXVII",2018
"PVEM",5,NA,"LXVII",2018
