Estado,Partido,MR,RP,Legislatura,year
Baja California Sur,PRI,7,,II,1978
Baja California Sur,PPS,,1,II,1978
Baja California Sur,PRI,8,,III,1981
Baja California Sur,PAN,,,III,1981
Baja California Sur,PSUM,,,III,1981
Baja California Sur,PRI,10,,IV,1984
Baja California Sur,PAN,,,IV,1984
Baja California Sur,PSUM,,,IV,1984
Baja California Sur,PRI,12,,V,1987
Baja California Sur,PAN,,,V,1987
Baja California Sur,PSUM,,,V,1987
Baja California Sur,PRI,15,,VI,1990
Baja California Sur,PAN,,,VI,1990
Baja California Sur,PRI,8,,VII,1993
Baja California Sur,PAN,7,,VII,1993
Baja California Sur,PRI,11,,VIII,1996
Baja California Sur,PAN,4,,VIII,1996
Baja California Sur,PRD,,,VIII,1996
Baja California Sur,PT,,,VIII,1996
Baja California Sur,PRI,2,,IX,1999
Baja California Sur,PAN,1,,IX,1999
Baja California Sur,PRD,10,,IX,1999
Baja California Sur,PT,2,,IX,1999
Baja California Sur,PAN,,,X,2002
Baja California Sur,PAS,,,X,2002
Baja California Sur,PRD-PT,11,,X,2002
Baja California Sur,PRI,4,,X,2002
Baja California Sur,PVEM,,,X,2002
Baja California Sur,PAN,,,XI,2005
Baja California Sur,PRI,,,XI,2005
Baja California Sur,PRD,15,,XI,2005
Baja California Sur,PVEM,,,XI,2005
Baja California Sur,Convergencia,,,XI,2005
Baja California Sur,MRPS,,,XII,2008
Baja California Sur,PAN,,,XII,2008
Baja California Sur,PNA,1,,XII,2008
Baja California Sur,PRD - PT - CONVERGENCIA,14,,XII,2008
Baja California Sur,PRI,1,,XII,2008
Baja California Sur,CONVERGENCIA,,,XIII,2011
Baja California Sur,PAN,7,,XIII,2011
Baja California Sur,PNA,,,XIII,2011
Baja California Sur,PRD,3,,XIII,2011
Baja California Sur,PRI,4,,XIII,2011
Baja California Sur,PRS,2,,XIII,2011
Baja California Sur,Morena,,,XIV,2015
Baja California Sur,PAN,7,,XIV,2015
Baja California Sur,PRD,,,XIV,2015
Baja California Sur,PRI,1,,XIV,2015
Baja California Sur,PRS,8,,XIV,2015
Baja California Sur,PT,,,XIV,2015
Baja California Sur,Morena,9,,XV,2018
Baja California Sur,PAN,,,XV,2018
Baja California Sur,PES,6,,XV,2018
Baja California Sur,PHBCS,,,XV,2018
Baja California Sur,PRD,,,XV,2018
Baja California Sur,PRI,,,XV,2018
Baja California Sur,PRS,1,,XV,2018
Baja California Sur,PT,,,XV,2018
Campeche,PRI,13,,XLVIII,1974
Campeche,PRI,13,,XLIX,1977
Campeche,PRI,13,,L,1980
Campeche,PRI,21,,LI,1983
Campeche,PAN,,,LI,1983
Campeche,PST,,,LI,1983
Campeche,PRI,21,,LII,1986
Campeche,PAN,,,LII,1986
Campeche,PST,,,LII,1986
Campeche,PPS,,,LII,1986
Campeche,PRI,21,,LIII,1989
Campeche,PAN,,,LIII,1989
Campeche,PARM,,,LIII,1989
Campeche,PFCRN,,,LIII,1989
Campeche,PRD,,,LIII,1989
Campeche,PRI,21,,LIV,1992
Campeche,PARM,,,LIV,1992
Campeche,PFCRN,,,LIV,1992
Campeche,PRD,,,LIV,1992
Campeche,PRI,21,,LV,1994
Campeche,PAN,,,LV,1994
Campeche,PARM,,,LV,1994
Campeche,PRD,,,LV,1994
Campeche,PT,,,LV,1994
Campeche,PRI,16,,LVI,1997
Campeche,PAN,1,,LVI,1997
Campeche,PRD,4,,LVI,1997
Campeche,PT,,,LVI,1997
Campeche,PAN,6,,LVII,2000
Campeche,PRD,,,LVII,2000
Campeche,PRI,15,,LVII,2000
Campeche,PT,,,LVII,2000
Campeche,Convergencia,,,LVIII,2003
Campeche,PAN,5,,LVIII,2003
Campeche,PRD,,,LVIII,2003
Campeche,PRI,16,,LVIII,2003
Campeche,PAN,6,,LIX,2006
Campeche,PRD,1,,LIX,2006
Campeche,PRI,14,,LIX,2006
Campeche,PAN,5,,LX,2009
Campeche,PNA,2,,LX,2009
Campeche,PNA,,,LX,2009
Campeche,PRI,14,,LX,2009
Campeche,PVEM,,,LX,2009
Campeche,PAN,1,,LXI,2012
Campeche,PNA,,,LXI,2012
Campeche,PRD,,,LXI,2012
Campeche,PRI,20,,LXI,2012
Campeche,PT,,,LXI,2012
Campeche,PRI,20,,LXII,2015
Campeche,PAN,1,,LXII,2015
Campeche,PRD,,,LXII,2015
Campeche,PNA,,,LXII,2015
Campeche,PT,,,LXII,2015
Campeche,MC,,,LXII,2015
Campeche,PRI,8,,LXIII,2018
Campeche,Morena,7,,LXIII,2018
Campeche,PAN,3,,LXIII,2018
Campeche,PT,,,LXIII,2018
Campeche,PNA,2,,LXIII,2018
Campeche,PRD,,,LXIII,2018
Campeche,PVEM,1,,LXIII,2018
Chiapas,PRI,10,,LII,1973
Chiapas,PAN,1,,LII,1973
Chiapas,PRI,11,,LIII,1976
Chiapas,PRI,11,,LIV,1979
Chiapas,PPS,,,LIV,1979
Chiapas,PRI,15,,LV,1982
Chiapas,PAN,,,LV,1982
Chiapas,PST,,,LV,1982
Chiapas,PPS,,,LV,1982
Chiapas,PARM,,,LV,1982
Chiapas,PRI,15,,LVI,1985
Chiapas,PAN,,,LVI,1985
Chiapas,PST,,,LVI,1985
Chiapas,PPS,,,LVI,1985
Chiapas,PARM,,,LVI,1985
Chiapas,PRI,15,,LVII,1988
Chiapas,PAN,,,LVII,1988
Chiapas,PFCRN,,,LVII,1988
Chiapas,PRD,,,LVII,1988
Chiapas,PRI,15,,LVIII,1991
Chiapas,PAN,,,LVIII,1991
Chiapas,PFCRN,,,LVIII,1991
Chiapas,PRD,,,LVIII,1991
Chiapas,PRI,21,,LIX,1995
Chiapas,PAN,2,,LIX,1995
Chiapas,PFCRN,,,LIX,1995
Chiapas,PRD,1,,LIX,1995
Chiapas,PT,,,LIX,1995
Chiapas,PRI,21,,LX,1998
Chiapas,PAN,2,,LX,1998
Chiapas,PRD,1,,LX,1998
Chiapas,PT,,,LX,1998
Chiapas,Local,,,LX,1998
Chiapas,PAN,1,,LXI,2001
Chiapas,PAS,,,LXI,2001
Chiapas,PRD,2,,LXI,2001
Chiapas,PRI,21,,LXI,2001
Chiapas,PT,,,LXI,2001
Chiapas,PVEM,,,LXI,2001
Chiapas,Convergencia,,,LXII,2004
Chiapas,PAN,5,,LXII,2004
Chiapas,PRD,6,,LXII,2004
Chiapas,PRI,10,,LXII,2004
Chiapas,PT,1,,LXII,2004
Chiapas,PVEM,1,,LXII,2004
Chiapas,Convergencia,,,LXIII,2007
Chiapas,PAN,3,,LXIII,2007
Chiapas,PNA,1,,LXIII,2007
Chiapas,PRD,7,,LXIII,2007
Chiapas,PRI,10,,LXIII,2007
Chiapas,PT,1,,LXIII,2007
Chiapas,PVEM,2,,LXIII,2007
Chiapas,Convergencia,,,LXIV,2010
Chiapas,PAN,7,,LXIV,2010
Chiapas,PNA,1,,LXIV,2010
Chiapas,PRD,6,,LXIV,2010
Chiapas,PRI,7,,LXIV,2010
Chiapas,PT,,,LXIV,2010
Chiapas,PVEM,3,,LXIV,2010
Chiapas,MC,1,,LXV,2012
Chiapas,PAN,1,,LXV,2012
Chiapas,POR CHIAPAS,3,,LXV,2012
Chiapas,PRD,,,LXV,2012
Chiapas,PRI,11,,LXV,2012
Chiapas,PT,,,LXV,2012
Chiapas,PVEM,9,,LXV,2012
Chiapas,PAN,,,LXVI,2015
Chiapas,PRI,7,,LXVI,2015
Chiapas,PRD,,,LXVI,2015
Chiapas,PVEM,12,,LXVI,2015
Chiapas,PNA,3,,LXVI,2015
Chiapas,Chiapas Unido,2,,LXVI,2015
Chiapas,Morena,,,LXVI,2015
Chiapas,Mover a Chiapas,,,LXVI,2015
Chiapas,IND,1,,LXVII,2018
Chiapas,Morena,5,,LXVII,2018
Chiapas,PAN,,,LXVII,2018
Chiapas,PCU,3,,LXVII,2018
Chiapas,PES,4,,LXVII,2018
Chiapas,PMC,,,LXVII,2018
Chiapas,PRD,,,LXVII,2018
Chiapas,PRI,2,,LXVII,2018
Chiapas,PT,4,,LXVII,2018
Chiapas,PVEM,5,,LXVII,2018
Chihuahua,PRI,14,,LI,1974
Chihuahua,PRI,14,,LII,1977
Chihuahua,PRI,14,,LIII,1980
Chihuahua,PAN,,,LIII,1980
Chihuahua,PRI,9,,LIV,1983
Chihuahua,PAN,4,,LIV,1983
Chihuahua,PRI,14,,LV,1986
Chihuahua,PAN,,,LV,1986
Chihuahua,PRI,17,,LVI,1989
Chihuahua,PAN,1,,LVI,1989
Chihuahua,PRD,,,LVI,1989
Chihuahua,Local,,,LVI,1989
Chihuahua,PRI,8,,LVII,1992
Chihuahua,PAN,10,,LVII,1992
Chihuahua,PRD,,,LVII,1992
Chihuahua,Coalición,,,LVII,1992
Chihuahua,PRI,15,,LVIII,1995
Chihuahua,PAN,3,,LVIII,1995
Chihuahua,PRD,,,LVIII,1995
Chihuahua,Local,,,LVIII,1995
Chihuahua,PRI,16,,LIX,1998
Chihuahua,PAN,6,,LIX,1998
Chihuahua,PRD,,,LIX,1998
Chihuahua,PAN,6,,LX,2001
Chihuahua,PRD,,,LX,2001
Chihuahua,PRI,16,,LX,2001
Chihuahua,PT,,,LX,2001
Chihuahua,PAN,5,,LXI,2004
Chihuahua,PRD,,,LXI,2004
Chihuahua,PRI,17,,LXI,2004
Chihuahua,PT,,,LXI,2004
Chihuahua,PAN,7,,LXII,2007
Chihuahua,PNA,1,,LXII,2007
Chihuahua,PRD,,,LXII,2007
Chihuahua,PRI,14,,LXII,2007
Chihuahua,PT,,,LXII,2007
Chihuahua,PVEM,,,LXII,2007
Chihuahua,PAN,2,,LXIII,2010
Chihuahua,PNA,1,,LXIII,2010
Chihuahua,PRD,,,LXIII,2010
Chihuahua,PRI,19,,LXIII,2010
Chihuahua,PT,,,LXIII,2010
Chihuahua,PVEM,,,LXIII,2010
Chihuahua,MC,,,LXIV,2013
Chihuahua,PAN,4,,LXIV,2013
Chihuahua,PNA,,,LXIV,2013
Chihuahua,PRD,1,,LXIV,2013
Chihuahua,PRI,16,,LXIV,2013
Chihuahua,PT,,,LXIV,2013
Chihuahua,PVEM,1,,LXIV,2013
Chihuahua,MC,,,LXV,2016
Chihuahua,Morena,,,LXV,2016
Chihuahua,PAN,21,,LXV,2016
Chihuahua,PES,,,LXV,2016
Chihuahua,PNA,2,,LXV,2016
Chihuahua,PRD,,,LXV,2016
