Estado,Partido,MR,RP,Legislatura,year
Estado de México,PRI,34,,XLIX,1984
Estado de México,PAN,,,XLIX,1984
Estado de México,PST,,,XLIX,1984
Estado de México,PDM,,,XLIX,1984
Estado de México,PPS,,,XLIX,1984
Estado de México,PARM,,,XLIX,1984
Estado de México,Coalición,,,XLIX,1984
Estado de México,PRI,34,,L,1987
Estado de México,PAN,,,L,1987
Estado de México,PST,,,L,1987
Estado de México,PDM,,,L,1987
Estado de México,PPS,,,L,1987
Estado de México,PARM,,,L,1987
Estado de México,PRT,,,L,1987
Estado de México,PMS,,,L,1987
Estado de México,PRI,34,,LI,1990
Estado de México,PAN,,,LI,1990
Estado de México,PDM,,,LI,1990
Estado de México,PPS,,,LI,1990
Estado de México,PARM,,,LI,1990
Estado de México,PFCRN,,,LI,1990
Estado de México,PRD,,,LI,1990
Estado de México,PRI,40,,LII,1993
Estado de México,PAN,,,LII,1993
Estado de México,PPS,,,LII,1993
Estado de México,PFCRN,,,LII,1993
Estado de México,PRD,,,LII,1993
Estado de México,PVEM,,,LII,1993
Estado de México,PRI,30,,LIII,1996
Estado de México,PAN,10,,LIII,1996
Estado de México,PFCRN,,,LIII,1996
Estado de México,PRD,5,,LIII,1996
Estado de México,PT,,,LIII,1996
Estado de México,PVEM,,,LIII,1996
Estado de México,PRI,18,,LIV,1999
Estado de México,PAN,21,,LIV,1999
Estado de México,PRD,6,,LIV,1999
Estado de México,PT,,,LIV,1999
Estado de México,PVEM,,,LIV,1999
Estado de México,DEMOCRACIA SOCIAL,,,LIV,1999
Estado de México,PRI,24,,LV,2003
Estado de México,PAN,11,,LV,2003
Estado de México,PRD,10,,LV,2003
Estado de México,PVEM,,,LV,2003
Estado de México,PT,,,LV,2003
Estado de México,Convergencia,,,LV,2003
Estado de México,PAN,9,,LVI,2006
Estado de México,PC,,,LVI,2006
Estado de México,PRD,16,,LVI,2006
Estado de México,PRI,19,,LVI,2006
Estado de México,PT,1,,LVI,2006
Estado de México,PVEM,,,LVI,2006
Estado de México,PRI,39,,LVII,2009
Estado de México,PAN,2,,LVII,2009
Estado de México,PRD,3,,LVII,2009
Estado de México,PNA,1,,LVII,2009
Estado de México,PVEM,,,LVII,2009
Estado de México,PT,,,LVII,2009
Estado de México,Convergencia,,,LVII,2009
Estado de México,PSD,,,LVII,2009
Estado de México,PRI,39,,LVIII,2012
Estado de México,PRD,3,,LVIII,2012
Estado de México,PAN,1,,LVIII,2012
Estado de México,PNA,2,,LVIII,2012
Estado de México,PVEM,,,LVIII,2012
Estado de México,PT,,,LVIII,2012
Estado de México,MC,,,LVIII,2012
Estado de México,PRI,33,,LIX,2015
Estado de México,PRD,7,,LIX,2015
Estado de México,PAN,4,,LIX,2015
Estado de México,Morena,1,,LIX,2015
Estado de México,MC,,,LIX,2015
Estado de México,PES,,,LIX,2015
Estado de México,PT,,,LIX,2015
Estado de México,PVEM,,,LIX,2015
Estado de México,PNA,,,LIX,2015
Estado de México,Morena,29,,LX,2018
Estado de México,PRI,1,,LX,2018
Estado de México,PT,8,,LX,2018
Estado de México,PAN,2,,LX,2018
Estado de México,PES,5,,LX,2018
Estado de México,PRD,,,LX,2018
Estado de México,PVEM,,,LX,2018
Guanajuato,PRI,13,,XLIX,1973
Guanajuato,PRI,16,,L,1976
Guanajuato,PRI,18,,LI,1979
Guanajuato,PAN,,,LI,1979
Guanajuato,PPS,,,LI,1979
Guanajuato,PARM,,,LI,1979
Guanajuato,PRI,18,,LII,1982
Guanajuato,PAN,,,LII,1982
Guanajuato,PST,,,LII,1982
Guanajuato,PDM,,,LII,1982
Guanajuato,PRI,17,,LIII,1985
Guanajuato,PAN,1,,LIII,1985
Guanajuato,PST,,,LIII,1985
Guanajuato,PDM,,,LIII,1985
Guanajuato,PRI,15,,LIV,1988
Guanajuato,PAN,5,,LIV,1988
Guanajuato,PDM,,,LIV,1988
Guanajuato,PPS,,,LIV,1988
Guanajuato,PARM,,,LIV,1988
Guanajuato,PFCRN,,,LIV,1988
Guanajuato,PRI,15,,LV,1991
Guanajuato,PAN,3,,LV,1991
Guanajuato,PDM,,,LV,1991
Guanajuato,PPS,,,LV,1991
Guanajuato,PFCRN,,,LV,1991
Guanajuato,PRD,,,LV,1991
Guanajuato,PRI,17,,LVI,1994
Guanajuato,PAN,1,,LVI,1994
Guanajuato,PRD,,,LVI,1994
Guanajuato,PRI,6,,LVII,1997
Guanajuato,PAN,14,,LVII,1997
Guanajuato,PDM,,,LVII,1997
Guanajuato,PRD,2,,LVII,1997
Guanajuato,PT,,,LVII,1997
Guanajuato,PVEM,,,LVII,1997
Guanajuato,PAN,22,,LVIII,2000
Guanajuato,PAS,,,LVIII,2000
Guanajuato,PRD,,,LVIII,2000
Guanajuato,PRI,,,LVIII,2000
Guanajuato,PVEM,,,LVIII,2000
Guanajuato,PAN,17,,LIX,2003
Guanajuato,PRD,2,,LIX,2003
Guanajuato,PRI,3,,LIX,2003
Guanajuato,PT,,,LIX,2003
Guanajuato,PVEM,,,LIX,2003
Guanajuato,PAN,22,,LX,2006
Guanajuato,PRD,,,LX,2006
Guanajuato,PRI,,,LX,2006
Guanajuato,PT,,,LX,2006
Guanajuato,PVEM,,,LX,2006
Guanajuato,Convergencia,,,LXI,2009
Guanajuato,PAN,22,,LXI,2009
Guanajuato,PNA,,,LXI,2009
Guanajuato,PRD,,,LXI,2009
Guanajuato,PRI,,,LXI,2009
Guanajuato,PVEM,,,LXI,2009
Guanajuato,PAN,17,,LXII,2012
Guanajuato,PNA,,,LXII,2012
Guanajuato,PRD,,,LXII,2012
Guanajuato,PRI,3,,LXII,2012
Guanajuato,PVEM,,,LXII,2012
Guanajuato,MC,,,LXIII,2015
Guanajuato,Morena,,,LXIII,2015
Guanajuato,PAN,19,,LXIII,2015
Guanajuato,PNA,,,LXIII,2015
Guanajuato,PRD,,,LXIII,2015
Guanajuato,PRI,3,,LXIII,2015
Guanajuato,PVEM,,,LXIII,2015
Guanajuato,MC,,,LXIV,2018
Guanajuato,Morena,,,LXIV,2018
Guanajuato,PAN,19,,LXIV,2018
Guanajuato,PNA,,,LXIV,2018
Guanajuato,PRD,1,,LXIV,2018
Guanajuato,PRI,,,LXIV,2018
Guanajuato,PT,1,,LXIV,2018
Guanajuato,PVEM,,,LXIV,2018
Guanajuato,IND,1,,LXIV,2018
Guerrero,PRI,11,,XLVII,1972
Guerrero,PRI,11,,XLVIII,1975
Guerrero,PRI,11,,XLIX,1978
Guerrero,PPS,,1,XLIX,1978
Guerrero,PRI,11,,L,1981
Guerrero,PRI,14,,LI,1984
Guerrero,PST,,,LI,1984
Guerrero,PCM,,,LI,1984
Guerrero,PRI,14,,LII,1987
Guerrero,PAN,,,LII,1987
Guerrero,PARM,,,LII,1987
Guerrero,PRT,,,LII,1987
Guerrero,PRD,,,LII,1987
Guerrero,PRI,21,,LIII,1990
Guerrero,PPS,,,LIII,1990
Guerrero,PFCRN,,,LIII,1990
Guerrero,PRT,,,LIII,1990
Guerrero,PRD,1,,LIII,1990
Guerrero,Local,,,LIII,1990
Guerrero,PRI,28,,LIV,1993
Guerrero,PAN,,,LIV,1993
Guerrero,PPS,,,LIV,1993
Guerrero,PFCRN,,,LIV,1993
Guerrero,PRT,,,LIV,1993
Guerrero,PRD,,,LIV,1993
Guerrero,PRI,24,,LV,1996
Guerrero,PAN,1,,LV,1996
Guerrero,PFCRN,,,LV,1996
Guerrero,PRD,3,,LV,1996
Guerrero,PT,,,LV,1996
Guerrero,PRI,23,,LVI,1999
Guerrero,PAN,,,LVI,1999
Guerrero,PPS,,,LVI,1999
Guerrero,PRD,5,,LVI,1999
Guerrero,PRI,16,,LVII,2002
Guerrero,PAN,,,LVII,2002
Guerrero,PRD,12,,LVII,2002
Guerrero,PCD,,,LVII,2002
Guerrero,PVEM,,,LVII,2002
Guerrero,PRS,,,LVII,2002
Guerrero,PT,,,LVII,2002
Guerrero,PRI,9,,LVIII,2005
Guerrero,PAN,1,,LVIII,2005
Guerrero,PRD,18,,LVIII,2005
Guerrero,Convergencia,,,LVIII,2005
Guerrero,PVEM,,,LVIII,2005
Guerrero,PT,,,LVIII,2005
Guerrero,PRI,13,,LIX,2008
Guerrero,PAN,1,,LIX,2008
Guerrero,PRD,13,,LIX,2008
Guerrero,CONVERGENCIA,1,,LIX,2008
Guerrero,PVE,,,LIX,2008
Guerrero,PT,,,LIX,2008
Guerrero,PNA,,,LIX,2008
Guerrero,PRI,6,,LX,2012
Guerrero,PAN,,,LX,2012
Guerrero,PRD,22,,LX,2012
Guerrero,MC,2,,LX,2012
Guerrero,PVEM,,,LX,2012
Guerrero,PT,,,LX,2012
Guerrero,PNA,,,LX,2012
Guerrero,PRI,15,,LXI,2015
Guerrero,PAN,,,LXI,2015
Guerrero,PRD,9,,LXI,2015
Guerrero,MC,,,LXI,2015
Guerrero,PVEM,4,,LXI,2015
Guerrero,PT,,,LXI,2015
Guerrero,Morena,,,LXI,2015
Guerrero,PRI,5,,LXII,2018
Guerrero,PAN,,,LXII,2018
Guerrero,PRD,3,,LXII,2018
Guerrero,MC,,,LXII,2018
Guerrero,PVEM,1,,LXII,2018
Guerrero,PT,,,LXII,2018
Guerrero,Morena,19,,LXII,2018
Hidalgo,PRI,15,,XLVII,1972
Hidalgo,PRI,15,,XLVIII,1975
Hidalgo,PRI,15,,XLIX,1975
Hidalgo,PRI,15,,L,1978
Hidalgo,PRI,15,,LI,1981
Hidalgo,PAN,,,LI,1981
Hidalgo,PST,,,LI,1981
Hidalgo,PPS,,,LI,1981
Hidalgo,PARM,,,LI,1981
Hidalgo,PRI,15,,LII,1984
Hidalgo,PAN,,,LII,1984
Hidalgo,PST,,,LII,1984
Hidalgo,PDM,,,LII,1984
Hidalgo,PPS,,,LII,1984
Hidalgo,PRI,15,,LIII,1987
Hidalgo,PAN,,,LIII,1987
Hidalgo,PPS,,,LIII,1987
Hidalgo,PFCRN,,,LIII,1987
Hidalgo,PRD,,,LIII,1987
Hidalgo,PRI,15,,LIV,1990
Hidalgo,PAN,,,LIV,1990
Hidalgo,PARM,,,LIV,1990
Hidalgo,PFCRN,,,LIV,1990
Hidalgo,PRD,,,LIV,1990
Hidalgo,PRI,17,,LV,1993
Hidalgo,PAN,,,LV,1993
Hidalgo,PARM,,,LV,1993
Hidalgo,PFCRN,,,LV,1993
Hidalgo,PRD,,,LV,1993
Hidalgo,PRI,18,,LVI,1996
Hidalgo,PAN,,,LVI,1996
Hidalgo,PRD,,,LVI,1996
Hidalgo,PT,,,LVI,1996
Hidalgo,PRI,16,,LVII,1999
Hidalgo,PAN,2,,LVII,1999
Hidalgo,Coalición,,,LVII,1999
Hidalgo,PRI,18,,LVIII,2002
Hidalgo,PAN,,,LVIII,2002
Hidalgo,PRD,,,LVIII,2002
Hidalgo,PRI,18,,LIX,2005
Hidalgo,PAN,,,LIX,2005
Hidalgo,PRD,,,LIX,2005
Hidalgo,PVEM,,,LIX,2005
Hidalgo,PT,,,LIX,2005
Hidalgo,PRI,18,,LX,2008
Hidalgo,PAN,,,LX,2008
Hidalgo,PRD,,,LX,2008
Hidalgo,PVEM,,,LX,2008
Hidalgo,PNA,,,LX,2008
Hidalgo,PRI,15,,LXI,2011
Hidalgo,PAN,1,,LXI,2011
Hidalgo,PRD,2,,LXI,2011
Hidalgo,PVEM,,,LXI,2011
Hidalgo,PNA,,,LXI,2011
Hidalgo,PT,,,LXI,2011
Hidalgo,CONVERGENCIA,,,LXI,2011
Hidalgo,PRI,18,,LXII,2013
Hidalgo,PAN,,,LXII,2013
Hidalgo,PRD,,,LXII,2013
Hidalgo,PVEM,3,,LXII,2013
Hidalgo,PNA,,,LXII,2013
Hidalgo,PRI,7,,LXIII,2016
Hidalgo,PAN,5,,LXIII,2016
Hidalgo,PRD,1,,LXIII,2016
Hidalgo,PVEM,2,,LXIII,2016
Hidalgo,PNA,3,,LXIII,2016
Hidalgo,MC,,,LXIII,2016
Hidalgo,PES,,,LXIII,2016
Hidalgo,Morena,,,LXIII,2016
Hidalgo,PRI,1,,LXIV,2018
Hidalgo,PAN,,,LXIV,2018
Hidalgo,PRD,,,LXIV,2018
Hidalgo,PNA,,,LXIV,2018
Hidalgo,PES,,,LXIV,2018
Hidalgo,PT,,,LXIV,2018
Hidalgo,Morena,17,,LXIV,2018
Jalisco,PRI,15,,XLVII,1974
Jalisco,PAN,2,,XLVII,1974
Jalisco,PRI,18,,XLVIII,1977
Jalisco,PRI,20,,XLIX,1980
Jalisco,PAN,,,XLIX,1980
Jalisco,PDM,,,XLIX,1980
Jalisco,PARM,,,XLIX,1980
Jalisco,PCM,,,XLIX,1980
Jalisco,PRI,20,,L,1983
Jalisco,PAN,,,L,1983
Jalisco,PDM,,,L,1983
Jalisco,PSUM,,,L,1983
Jalisco,PRI,20,,LI,1986
Jalisco,PAN,,,LI,1986
Jalisco,PDM,,,LI,1986
Jalisco,PARM,,,LI,1986
Jalisco,PRI,19,,LII,1989
Jalisco,PAN,1,,LII,1989
Jalisco,PARM,,,LII,1989
Jalisco,Local,,,LII,1989
Jalisco,PRI,20,,LIII,1992
Jalisco,PAN,,,LIII,1992
Jalisco,PFCRN,,,LIII,1992
Jalisco,PRD,,,LIII,1992
Jalisco,PRI,3,,LIV,1995
Jalisco,PAN,17,,LIV,1995
Jalisco,PRD,,,LIV,1995
Jalisco,PRI,11,,LV,1998
Jalisco,PAN,9,,LV,1998
Jalisco,PRD,,,LV,1998
Jalisco,PVEM,,,LV,1998
Jalisco,PAN,14,,LVI,2001
Jalisco,PRD,,,LVI,2001
Jalisco,PRI,6,,LVI,2001
Jalisco,PVEM,,,LVI,2001
Jalisco,PAN,17,,LVII,2004
Jalisco,PRD,2,,LVII,2004
Jalisco,PRI,19,,LVII,2004
Jalisco,PVEM,2,,LVII,2004
Jalisco,PAN,19,,LVIII,2007
Jalisco,PNA,,,LVIII,2007
Jalisco,PRD,,,LVIII,2007
Jalisco,PRI,1,,LVIII,2007
Jalisco,PT,,,LVIII,2007
Jalisco,PVEM,,,LVIII,2007
Jalisco,PAN,8,,LIX,2010
Jalisco,PRD,,,LIX,2010
Jalisco,PRI,12,,LIX,2010
Jalisco,PVEM,,,LIX,2010
Jalisco,MC,,,LX,2013
Jalisco,PAN,5,,LX,2013
Jalisco,PMC,2,,LX,2013
Jalisco,PRD,,,LX,2013
Jalisco,PRI,10,,LX,2013
Jalisco,PVEM,1,,LX,2013
Jalisco,IND,1,,LXI,2016
Jalisco,MC,9,,LXI,2016
Jalisco,PAN,,,LXI,2016
Jalisco,PNA,,,LXI,2016
Jalisco,PRD,,,LXI,2016
Jalisco,PRI,8,,LXI,2016
Jalisco,PVEM,2,,LXI,2016
Jalisco,MC,9,,LXII,2018
Jalisco,PAN,6,,LXII,2018
Jalisco,Morena,3,,LXII,2018
Jalisco,PRI,,,LXII,2018
Jalisco,PRD,2,,LXII,2018
Jalisco,PT,,,LXII,2018
Jalisco,PVEM,,,LXII,2018
Michoacán,PRI,16,,LX,1974
Michoacán,PRI,16,,LXI,1977
Michoacán,PPS,,,LXI,1977
Michoacán,PRI,18,,LXII,1980
Michoacán,PRI,18,,LXIII,1983
Michoacán,PAN,,,LXIII,1983
Michoacán,PDM,,,LXIII,1983
Michoacán,PSUM,,,LXIII,1983
Michoacán,PRI,18,,LXIV,1986
Michoacán,PAN,,,LXIV,1986
Michoacán,PST,,,LXIV,1986
Michoacán,PDM,,,LXIV,1986
Michoacán,PARM,,,LXIV,1986
Michoacán,PRI,12,,LXV,1989
Michoacán,PAN,,,LXV,1989
Michoacán,PARM,,,LXV,1989
Michoacán,PFCRN,,,LXV,1989
Michoacán,PRD,6,,LXV,1989
Michoacán,PRI,17,,LXVI,1992
Michoacán,PAN,,,LXVI,1992
Michoacán,PRD,1,,LXVI,1992
Michoacán,PRI,11,,LXVII,1995
Michoacán,PAN,4,,LXVII,1995
Michoacán,PRD,3,,LXVII,1995
Michoacán,PRI,18,,LXVIII,1998
Michoacán,PAN,,,LXVIII,1998
Michoacán,PRD,,,LXVIII,1998
Michoacán,PT,,,LXVIII,1998
Michoacán,PAN,1,,LXIX,2001
Michoacán,PRD,12,,LXIX,2001
Michoacán,PRI,11,,LXIX,2001
Michoacán,PT,,,LXIX,2001
Michoacán,PAN,3,,LXX,2005
Michoacán,PRD,11,,LXX,2005
Michoacán,PRI,10,,LXX,2005
Michoacán,PT,,,LXX,2005
Michoacán,PVEM,,,LXX,2005
Michoacán,Convergencia,,,LXXI,2008
Michoacán,PAN,8,,LXXI,2008
Michoacán,PNA,,,LXXI,2008
Michoacán,PRD,11,,LXXI,2008
Michoacán,PRI,5,,LXXI,2008
Michoacán,PT,,,LXXI,2008
Michoacán,PVEM,,,LXXI,2008
Michoacán,PAN,5,,LXXII,2012
Michoacán,PRD,7,,LXXII,2012
Michoacán,PRI,12,,LXXII,2012
Michoacán,PT,,,LXXII,2012
Michoacán,PVEM,,,LXXII,2012
Michoacán,MC,,,LXXIII,2015
Michoacán,Morena,,,LXXIII,2015
Michoacán,PAN,2,,LXXIII,2015
Michoacán,PRD,9,,LXXIII,2015
Michoacán,PRI,10,,LXXIII,2015
Michoacán,PT,1,,LXXIII,2015
Michoacán,PVEM,2,,LXXIII,2015
Michoacán,Indep,,,LXXIV,2018
Michoacán,MC,,,LXXIV,2018
Michoacán,Morena,11,,LXXIV,2018
Michoacán,PAN,5,,LXXIV,2018
Michoacán,PRD,4,,LXXIV,2018
Michoacán,PRI,,,LXXIV,2018
Michoacán,PT,4,,LXXIV,2018
Michoacán,PVEM,,,LXXIV,2018
Morelos,PRI,7,,XXXIX,1973
Morelos,PRI,9,,XL,1976
Morelos,PRI,12,,XLI,1979
Morelos,PAN,,,XLI,1979
Morelos,PPS,,,XLI,1979
Morelos,PARM,,,XLI,1979
Morelos,PRI,12,,XLII,1982
Morelos,PAN,,,XLII,1982
Morelos,PST,,,XLII,1982
Morelos,PARM,,,XLII,1982
Morelos,PRI,12,,XLIII,1985
Morelos,PAN,,,XLIII,1985
Morelos,PST,,,XLIII,1985
Morelos,PSUM,,,XLIII,1985
Morelos,PRI,12,,XLIV,1988
Morelos,PAN,,,XLIV,1988
Morelos,PFCRN,,,XLIV,1988
Morelos,PMS,,,XLIV,1988
Morelos,PRI,12,,XLV,1991
Morelos,PAN,,,XLV,1991
Morelos,PARM,,,XLV,1991
Morelos,PFCRN,,,XLV,1991
Morelos,PRD,,,XLV,1991
Morelos,PRI,15,,XLVI,1994
Morelos,PAN,,,XLVI,1994
Morelos,PRD,,,XLVI,1994
Morelos,PRI,8,,XLVII,1997
Morelos,PAN,3,,XLVII,1997
Morelos,PRD,7,,XLVII,1997
Morelos,Local,,,XLVII,1997
Morelos,PAN,10,,XLVIII,2000
Morelos,PRD,,,XLVIII,2000
Morelos,PRI,8,,XLVIII,2000
Morelos,Convergencia,,,XLIX,2003
Morelos,PAN,9,,XLIX,2003
Morelos,PRD,4,,XLIX,2003
Morelos,PRI,5,,XLIX,2003
Morelos,PVEM,,,XLIX,2003
Morelos,PAN,9,,L,2006
Morelos,PC,2,,L,2006
Morelos,PNA,,,L,2006
Morelos,PRD,7,,L,2006
Morelos,PRI,,,L,2006
Morelos,PVEM,,,L,2006
Morelos,Convergencia,,,LI,2009
Morelos,PAN,3,,LI,2009
Morelos,PNA,,,LI,2009
Morelos,PRD,,,LI,2009
Morelos,PRI,15,,LI,2009
Morelos,PT,,,LI,2009
Morelos,PVEM,,,LI,2009
Morelos,Guzmán,1,,LII,2012
Morelos,MC,2,,LII,2012
Morelos,PAN,,,LII,2012
Morelos,PNA,,,LII,2012
Morelos,PRD,7,,LII,2012
Morelos,PRI,4,,LII,2012
Morelos,PSD,,,LII,2012
Morelos,PT,3,,LII,2012
Morelos,PVEC,,,LII,2012
Morelos,PVEM,1,,LII,2012
Morelos,HUMAN,,,LIII,2015
Morelos,MC,,,LIII,2015
Morelos,Morena,,,LIII,2015
Morelos,PAN,3,,LIII,2015
Morelos,PES,,,LIII,2015
Morelos,PNA,2,,LIII,2015
Morelos,PRD,8,,LIII,2015
Morelos,PRI,4,,LIII,2015
Morelos,PSD,,,LIII,2015
Morelos,PT,,,LIII,2015
Morelos,PVEM,1,,LIII,2015
Morelos,Morena,6,,LIV,2018
Morelos,PES,5,,LIV,2018
Morelos,PT,1,,LIV,2018
Morelos,PAN,,,LIV,2018
Morelos,PRI,,,LIV,2018
Morelos,PRD,,,LIV,2018
Morelos,MC,,,LIV,2018
Morelos,PNA,,,LIV,2018
Morelos,Humanista,,,LIV,2018
Nayarit,PRI,7,,XVII,1972
Nayarit,PPS,,,XVII,1972
Nayarit,PARM,,,XVII,1972
Nayarit,PRI,9,,XVIIII,1975
Nayarit,PPS,,,XVIIII,1975
Nayarit,PRI,15,,XIX,1978
Nayarit,PPS,,,XIX,1978
Nayarit,PARM,,,XIX,1978
Nayarit,PRI,15,,XX,1981
Nayarit,PPS,,,XX,1981
Nayarit,PSUM,,,XX,1981
Nayarit,PRI,17,,XXI,1984
Nayarit,PDM,,,XXI,1984
Nayarit,PPS,,,XXI,1984
Nayarit,PSUM,,,XXI,1984
Nayarit,PRI,18,,XXII,1987
Nayarit,PAN,,,XXII,1987
Nayarit,PPS,,,XXII,1987
Nayarit,PRD,,,XXII,1987
Nayarit,PRI,18,,XXIII,1990
Nayarit,PAN,,,XXIII,1990
Nayarit,PPS,,,XXIII,1990
Nayarit,PARM,,,XXIII,1990
Nayarit,PRD,,,XXIII,1990
Nayarit,Local,,,XXIII,1990
Nayarit,PRI,17,,XXIV,1993
Nayarit,PAN,,,XXIV,1993
Nayarit,PPS,,,XXIV,1993
Nayarit,PRD,1,,XXIV,1993
Nayarit,PT,,,XXIV,1993
Nayarit,Local,,,XXIV,1993
Nayarit,PRI,17,,XXV,1996
Nayarit,PAN,1,,XXV,1996
Nayarit,PRD,,,XXV,1996
Nayarit,PT,,,XXV,1996
Nayarit,PAN,4,,XXVI,1999
Nayarit,PRD,7,,XXVI,1999
Nayarit,PRI,5,,XXVI,1999
Nayarit,PRS,,,XXVI,1999
Nayarit,PT,2,,XXVI,1999
Nayarit,PAN,,,XXVII,2002
Nayarit,PCD,,,XXVII,2002
Nayarit,PRD,,,XXVII,2002
Nayarit,PRI,18,,XXVII,2002
Nayarit,PT,,,XXVII,2002
Nayarit,Convergencia,,,XXVIII,2005
Nayarit,PAN,,,XXVIII,2005
Nayarit,PRD,2,,XXVIII,2005
Nayarit,PRI,16,,XXVIII,2005
Nayarit,PRS,,,XXVIII,2005
Nayarit,PT,,,XXVIII,2005
Nayarit,Convergencia,,,XXIX,2008
Nayarit,PAN,1,,XXIX,2008
Nayarit,PNA,1,,XXIX,2008
Nayarit,PRD,1,,XXIX,2008
Nayarit,PRI,14,,XXIX,2008
Nayarit,PT,,,XXIX,2008
Nayarit,PV,1,,XXIX,2008
Nayarit,Convergencia,,,XXX,2011
Nayarit,PAN,4,,XXX,2011
Nayarit,PNA,,,XXX,2011
Nayarit,PRD,,,XXX,2011
Nayarit,PRI,14,,XXX,2011
Nayarit,PVEM,,,XXX,2011
Nayarit,MC,,,XXXI,2014
Nayarit,PAN,2,,XXXI,2014
Nayarit,PRD,2,,XXXI,2014
Nayarit,PRI,13,,XXXI,2014
Nayarit,PT,,,XXXI,2014
Nayarit,PVEM,1,,XXXI,2014
Nayarit,indep,1,,XXXII,2017
Nayarit,MC,,,XXXII,2017
Nayarit,Morena,1,,XXXII,2017
Nayarit,PAN,8,,XXXII,2017
Nayarit,PNA,,,XXXII,2017
Nayarit,PRD,,,XXXII,2017
Nayarit,PRI,6,,XXXII,2017
Nayarit,PT,,,XXXII,2017
Nuevo León,PRI,15,,LX,1973
Nuevo León,PRI,15,,LXI,1976
Nuevo León,PRI,14,,LXII,1979
Nuevo León,PAN,1,,LXII,1979
Nuevo León,PPS,,,LXII,1979
Nuevo León,PARM,,,LXII,1979
Nuevo León,PRI,21,,LXIII,1982
Nuevo León,PAN,,,LXIII,1982
Nuevo León,PDM,,,LXIII,1982
Nuevo León,PPS,,,LXIII,1982
Nuevo León,PARM,,,LXIII,1982
Nuevo León,PRI,24,,LXIV,1985
Nuevo León,PAN,2,,LXIV,1985
Nuevo León,PST,,,LXIV,1985
Nuevo León,PDM,,,LXIV,1985
Nuevo León,PPS,,,LXIV,1985
Nuevo León,PARM,,,LXIV,1985
Nuevo León,PRI,25,,LXV,1988
Nuevo León,PAN,1,,LXV,1988
Nuevo León,PRI,25,,LXVI,1991
Nuevo León,PAN,1,,LXVI,1991
Nuevo León,PFCRN,,,LXVI,1991
Nuevo León,PRI,15,,LXVII,1994
Nuevo León,PAN,11,,LXVII,1994
Nuevo León,PRD,,,LXVII,1994
Nuevo León,PT,,,LXVII,1994
Nuevo León,PRI,8,,LXVIII,1997
Nuevo León,PAN,18,,LXVIII,1997
Nuevo León,PRD,,,LXVIII,1997
Nuevo León,PT,,,LXVIII,1997
Nuevo León,PAN,16,,LXIX,2000
Nuevo León,PRD,,,LXIX,2000
Nuevo León,PRI,9,,LXIX,2000
Nuevo León,PT,,,LXIX,2000
Nuevo León,IND,,,LXX,2003
Nuevo León,PAN,6,,LXX,2003
Nuevo León,PRD,,,LXX,2003
Nuevo León,PRI,18,,LXX,2003
Nuevo León,PT,,,LXX,2003
Nuevo León,PVEM,2,,LXX,2003
Nuevo León,PAN,16,,LXXI,2006
Nuevo León,PNA,,,LXXI,2006
Nuevo León,PRD,,,LXXI,2006
Nuevo León,PRI,10,,LXXI,2006
Nuevo León,PT,,,LXXI,2006
Nuevo León,PAN,12,,LXXII,2009
Nuevo León,PNA,,,LXXII,2009
Nuevo León,PRD,,,LXXII,2009
Nuevo León,PRI,14,,LXXII,2009
Nuevo León,PT,,,LXXII,2009
Nuevo León,PAN,15,,LXXIII,2012
Nuevo León,PNA,,,LXXIII,2012
Nuevo León,PRD,,,LXXIII,2012
Nuevo León,PRI,11,,LXXIII,2012
Nuevo León,PT,,,LXXIII,2012
Nuevo León,MC,,,LXXIV,2015
Nuevo León,PAN,16,,LXXIV,2015
Nuevo León,PNA,,,LXXIV,2015
Nuevo León,PRI,10,,LXXIV,2015
Nuevo León,PT,,,LXXIV,2015
Nuevo León,PVEM,,,LXXIV,2015
Nuevo León,PAN,12,,LXXV,2018
Nuevo León,PRI,4,,LXXV,2018
Nuevo León,Morena,7,,LXXV,2018
Nuevo León,MC,2,,LXXV,2018
Nuevo León,PT,1,,LXXV,2018
Nuevo León,PVEM,,,LXXV,2018
Nuevo León,PNA,,,LXXV,2018
Nuevo León,indep,,,LXXV,2018
Oaxaca,PRI,15,,XLIX,1974
Oaxaca,PRI,15,,L,1977
Oaxaca,PRI,18,,LI,1980
Oaxaca,PAN,,,LI,1980
Oaxaca,PPS,,,LI,1980
Oaxaca,PARM,,,LI,1980
Oaxaca,PRI,18,,LII,1983
Oaxaca,PAN,,,LII,1983
Oaxaca,PPS,,,LII,1983
Oaxaca,PSUM,,,LII,1983
Oaxaca,PRI,18,,LIII,1986
Oaxaca,PAN,,,LIII,1986
Oaxaca,PPS,,,LIII,1986
Oaxaca,PFCRN,,,LIII,1986
Oaxaca,PRD,,,LIII,1986
Oaxaca,PRI,18,,LIV,1989
Oaxaca,PAN,,,LIV,1989
Oaxaca,PPS,,,LIV,1989
Oaxaca,PARM,,,LIV,1989
Oaxaca,PFCRN,,,LIV,1989
Oaxaca,PRD,,,LIV,1989
Oaxaca,PRI,21,,LV,1992
Oaxaca,PAN,,,LV,1992
Oaxaca,PPS,,,LV,1992
Oaxaca,PARM,,,LV,1992
Oaxaca,PFCRN,,,LV,1992
Oaxaca,PRD,,,LV,1992
Oaxaca,PRI,25,,LVI,1995
Oaxaca,PAN,,,LVI,1995
