"estado","partido","MR","RP","legis","year"
"Oaxaca","PNA",NA,1,"LX",2007
"Chihuahua","PNA",1,2,"LXII",2007
"Chiapas","PNA",1,1,"LXIII",2007
"Durango","PNA",NA,1,"LXIV",2007
"Tlaxcala","PNA",NA,1,"LIX",2008
"Puebla","PNA",NA,2,"LVII",2008
"Morelos","PNA",NA,1,"LI",2009
"Sonora","PNA",1,2,"LIX",2009
"Nuevo León","PNA",NA,3,"LXXII",2009
"Sinaloa","PNA",1,2,"LX",2010
"Tabasco","PNA",1,NA,"LX",2010
"Zacatecas","PNA",2,NA,"LX",2010
"Veracruz","PNA",3,1,"LXII",2010
"Chihuahua","PNA",1,3,"LXIII",2010
"Chiapas","PNA",1,1,"LXIV",2010
"Durango","PNA",2,1,"LXV",2010
"Tlaxcala","PNA",NA,1,"LX",2011
"Morelos","PNA",NA,1,"LII",2012
"Coahuila","PNA",1,1,"LIX",2012
"Sonora","PNA",NA,1,"LX",2012
"Nuevo León","PNA",NA,3,"LXXIII",2012
"Zacatecas","PNA",1,1,"LXI",2013
"Oaxaca","PNA",NA,1,"LXII",2013
"Veracruz","PNA",3,NA,"LXIII",2013
"Chihuahua","PNA",NA,2,"LXIV",2013
"Durango","PNA",NA,1,"LXVI",2013
"Puebla","PNA",2,NA,"LIX",2014
"Morelos","PNA",2,1,"LIII",2015
"Coahuila","PPC",1,1,"LIX",2012
"Veracruz","PRD",NA,4,"LIX",2000
"Coahuila","PRD",NA,3,"LV",2000
"Sonora","PRD",2,2,"LVI",2000
"Nuevo León","PRD",NA,1,"LXIX",2000
"Morelos","PRD",NA,3,"XLVIII",2000
"Yucatán","PRD",NA,1,"LVI",2001
"Sinaloa","PRD",NA,3,"LVII",2001
"Tabasco","PRD",6,6,"LVII",2001
"Zacatecas","PRD",10,3,"LVII",2001
"Oaxaca","PRD",1,7,"LVIII",2001
"Chihuahua","PRD",NA,2,"LX",2001
"Chiapas","PRD",2,5,"LXI",2001
"Durango","PRD",NA,1,"LXII",2001
"Puebla","PRD",NA,2,"LV",2002
"Tlaxcala","PRD",6,6,"LVII",2002
"Coahuila","PRD",NA,3,"LVI",2003
"Sonora","PRD",NA,2,"LVII",2003
"Nuevo León","PRD",NA,1,"LXX",2003
"Morelos","PRD",4,4,"XLIX",2003
"Oaxaca","PRD",4,3,"LIX",2004
"Yucatán","PRD",NA,2,"LVII",2004
"Sinaloa","PRD",1,2,"LVIII",2004
"Tabasco","PRD",11,6,"LVIII",2004
"Zacatecas","PRD",12,3,"LVIII",2004
"Veracruz","PRD",2,4,"LX",2004
"Chihuahua","PRD",NA,3,"LXI",2004
"Chiapas","PRD",6,NA,"LXII",2004
"Durango","PRD",NA,1,"LXIII",2004
"Puebla","PRD",NA,2,"LVI",2005
"Tlaxcala","PRD",8,2,"LVIII",2005
"Morelos","PRD",7,NA,"L",2006
"Coahuila","PRD",NA,2,"LVII",2006
"Sonora","PRD",NA,3,"LVIII",2006
"Nuevo León","PRD",NA,1,"LXXI",2006
"Sinaloa","PRD",NA,2,"LIX",2007
"Tabasco","PRD",9,4,"LIX",2007
"Zacatecas","PRD",8,2,"LIX",2007
"Yucatán","PRD",NA,1,"LVIII",2007
"Oaxaca","PRD",NA,6,"LX",2007
"Veracruz","PRD",NA,4,"LXI",2007
"Chihuahua","PRD",NA,1,"LXII",2007
"Chiapas","PRD",7,3,"LXIII",2007
"Durango","PRD",NA,1,"LXIV",2007
"Tlaxcala","PRD",5,3,"LIX",2008
"Puebla","PRD",NA,2,"LVII",2008
"Morelos","PRD",NA,3,"LI",2009
"Sonora","PRD",NA,2,"LIX",2009
"Coahuila","PRD",NA,1,"LVIII",2009
"Nuevo León","PRD",NA,1,"LXXII",2009
"Yucatán","PRD",NA,2,"LIX",2010
"Sinaloa","PRD",NA,2,"LX",2010
"Tabasco","PRD",6,5,"LX",2010
"Zacatecas","PRD",1,4,"LX",2010
"Oaxaca","PRD",5,4,"LXI",2010
"Chihuahua","PRD",NA,1,"LXIII",2010
"Chiapas","PRD",6,2,"LXIV",2010
"Durango","PRD",NA,1,"LXV",2010
"Tlaxcala","PRD",1,3,"LX",2011
"Morelos","PRD",7,NA,"LII",2012
"Sonora","PRD",NA,2,"LX",2012
"Nuevo León","PRD",NA,2,"LXXIII",2012
"Zacatecas","PRD",4,2,"LXI",2013
"Oaxaca","PRD",6,2,"LXII",2013
"Veracruz","PRD",NA,3,"LXIII",2013
"Chihuahua","PRD",1,1,"LXIV",2013
"Durango","PRD",NA,1,"LXVI",2013
"Puebla","PRD",2,NA,"LIX",2014
"Morelos","PRD",8,NA,"LIII",2015
"Veracruz","PRDConvergencia",NA,3,"LXII",2010
"Veracruz","PRI",20,7,"LIX",2000
"Coahuila","PRI",19,NA,"LV",2000
"Sonora","PRI",11,5,"LVI",2000
"Nuevo León","PRI",9,6,"LXIX",2000
"Morelos","PRI",8,4,"XLVIII",2000
"Yucatán","PRI",8,4,"LVI",2001
"Sinaloa","PRI",20,1,"LVII",2001
"Tabasco","PRI",12,4,"LVII",2001
"Zacatecas","PRI",7,3,"LVII",2001
"Oaxaca","PRI",24,1,"LVIII",2001
"Chihuahua","PRI",16,1,"LX",2001
"Chiapas","PRI",21,3,"LXI",2001
"Durango","PRI",13,NA,"LXII",2001
"Puebla","PRI",20,5,"LV",2002
"Tlaxcala","PRI",13,NA,"LVII",2002
"Coahuila","PRI",16,4,"LVI",2003
"Sonora","PRI",15,2,"LVII",2003
"Nuevo León","PRI",18,5,"LXX",2003
"Morelos","PRI",5,3,"XLIX",2003
"Oaxaca","PRI",18,5,"LIX",2004
"Yucatán","PRI",6,4,"LVII",2004
"Sinaloa","PRI",18,3,"LVIII",2004
"Tabasco","PRI",9,5,"LVIII",2004
"Veracruz","PRI",13,10,"LX",2004
"Chihuahua","PRI",17,1,"LXI",2004
"Chiapas","PRI",10,6,"LXII",2004
"Durango","PRI",15,NA,"LXIII",2004
"Puebla","PRI",23,3,"LVI",2005
"Tlaxcala","PRI",8,2,"LVIII",2005
"Morelos","PRI",NA,2,"L",2006
"Coahuila","PRI",16,4,"LVII",2006
"Sonora","PRI",13,1,"LVIII",2006
"Nuevo León","PRI",10,5,"LXXI",2006
"Sinaloa","PRI",18,6,"LIX",2007
"Tabasco","PRI",12,9,"LIX",2007
"Zacatecas","PRI",4,3,"LIX",2007
"Yucatán","PRI",10,3,"LVIII",2007
"Oaxaca","PRI",25,NA,"LX",2007
"Veracruz","PRI",28,2,"LXI",2007
"Chihuahua","PRI",14,1,"LXII",2007
"Chiapas","PRI",10,5,"LXIII",2007
"Durango","PRI",17,NA,"LXIV",2007
"Tlaxcala","PRI",NA,3,"LIX",2008
"Puebla","PRI",25,1,"LVII",2008
"Morelos","PRI",15,NA,"LI",2009
"Sonora","PRI",10,2,"LIX",2009
"Coahuila","PRI",20,1,"LVIII",2009
"Nuevo León","PRI",14,6,"LXXII",2009
"Yucatán","PRI",14,2,"LIX",2010
"Sinaloa","PRI",14,5,"LX",2010
"Tabasco","PRI",12,6,"LX",2010
"Zacatecas","PRI",11,NA,"LX",2010
"Oaxaca","PRI",9,7,"LXI",2010
"Veracruz","PRI",20,9,"LXII",2010
"Chihuahua","PRI",19,NA,"LXIII",2010
"Chiapas","PRI",7,5,"LXIV",2010
"Durango","PRI",11,6,"LXV",2010
"Puebla","PRI",11,5,"LVIII",2011
"Tlaxcala","PRI",9,1,"LX",2011
"Morelos","PRI",4,3,"LII",2012
"Coahuila","PRI",13,2,"LIX",2012
"Sonora","PRI",8,3,"LX",2012
"Nuevo León","PRI",11,4,"LXXIII",2012
"Zacatecas","PRI",11,1,"LXI",2013
"Oaxaca","PRI",11,6,"LXII",2013
"Veracruz","PRI",19,8,"LXIII",2013
"Chihuahua","PRI",16,1,"LXIV",2013
"Durango","PRI",17,4,"LXVI",2013
"Puebla","PRI",1,NA,"LIX",2014
"Morelos","PRI",4,2,"LIII",2015
"Veracruz","PRV",NA,1,"LXI",2007
"Tlaxcala","PS",NA,1,"LIX",2008
"Tlaxcala","PS",NA,1,"LX",2011
"Morelos","PSD",NA,1,"LII",2012
"Coahuila","PSD",NA,1,"LIX",2012
"Oaxaca","PSD",NA,1,"LXII",2013
"Morelos","PSD",NA,1,"LIII",2015
"Veracruz","PT",NA,1,"LIX",2000
"Nuevo León","PT",NA,2,"LXIX",2000
"Sinaloa","PT",1,2,"LVII",2001
"Tabasco","PT",NA,1,"LVII",2001
"Zacatecas","PT",NA,2,"LVII",2001
"Oaxaca","PT",NA,1,"LVIII",2001
"Chihuahua","PT",NA,2,"LX",2001
"Chiapas","PT",NA,2,"LXI",2001
"Durango","PT",NA,2,"LXII",2001
"Puebla","PT",NA,1,"LV",2002
"Tlaxcala","PT",NA,2,"LVII",2002
"Coahuila","PT",NA,2,"LVI",2003
"Nuevo León","PT",NA,3,"LXX",2003
"Oaxaca","PT",NA,1,"LIX",2004
"Sinaloa","PT",NA,1,"LVIII",2004
"Chihuahua","PT",NA,2,"LXI",2004
"Chiapas","PT",1,1,"LXII",2004
"Durango","PT",NA,1,"LXIII",2004
"Puebla","PT",NA,1,"LVI",2005
"Tlaxcala","PT",NA,3,"LVIII",2005
"Coahuila","PT",NA,1,"LVII",2006
"Sonora","PT",NA,1,"LVIII",2006
"Nuevo León","PT",NA,2,"LXXI",2006
"Zacatecas","PT",2,2,"LIX",2007
"Oaxaca","PT",NA,1,"LX",2007
"Veracruz","PT",NA,1,"LXI",2007
"Chihuahua","PT",NA,1,"LXII",2007
"Chiapas","PT",1,2,"LXIII",2007
"Durango","PT",NA,2,"LXIV",2007
"Tlaxcala","PT",NA,2,"LIX",2008
"Puebla","PT",NA,2,"LVII",2008
"Morelos","PT",NA,1,"LI",2009
"Nuevo León","PT",NA,1,"LXXII",2009
"Sinaloa","PT",NA,1,"LX",2010
"Tabasco","PT",NA,2,"LX",2010
"Zacatecas","PT",2,2,"LX",2010
"Oaxaca","PT",1,1,"LXI",2010
"Chihuahua","PT",NA,1,"LXIII",2010
"Chiapas","PT",NA,3,"LXIV",2010
"Durango","PT",NA,1,"LXV",2010
"Puebla","PT",NA,1,"LVIII",2011
"Tlaxcala","PT",NA,3,"LX",2011
"Morelos","PT",3,NA,"LII",2012
"Nuevo León","PT",NA,2,"LXXIII",2012
"Zacatecas","PT",1,2,"LXI",2013
"Oaxaca","PT",NA,1,"LXII",2013
"Veracruz","PT",NA,1,"LXIII",2013
"Chihuahua","PT",NA,2,"LXIV",2013
"Durango","PT",NA,1,"LXVI",2013
"Morelos","PT",NA,1,"LIII",2015
"Yucatán","PTSY",NA,1,"LVIII",2007
"Morelos","PVEC",NA,1,"LII",2012
"Veracruz","PVEM",NA,1,"LIX",2000
"Chiapas","PVEM",NA,1,"LXI",2001
"Puebla","PVEM",NA,2,"LV",2002
"Tlaxcala","PVEM",NA,1,"LVII",2002
"Nuevo León","PVEM",2,NA,"LXX",2003
"Morelos","PVEM",NA,3,"XLIX",2003
"Oaxaca","PVEM",NA,1,"LIX",2004
"Tabasco","PVEM",NA,1,"LVIII",2004
"Chiapas","PVEM",1,2,"LXII",2004
"Puebla","PVEM",NA,2,"LVI",2005
"Tlaxcala","PVEM",NA,1,"LVIII",2005
"Morelos","PVEM",NA,2,"L",2006
"Coahuila","PVEM",NA,1,"LVII",2006
"Zacatecas","PVEM",NA,1,"LIX",2007
"Chihuahua","PVEM",NA,1,"LXII",2007
"Chiapas","PVEM",2,1,"LXIII",2007
"Tlaxcala","PVEM",NA,1,"LIX",2008
"Morelos","PVEM",NA,2,"LI",2009
"Sonora","PVEM",1,1,"LIX",2009
"Yucatán","PVEM",NA,2,"LIX",2010
"Sinaloa","PVEM",NA,1,"LX",2010
"Chihuahua","PVEM",NA,2,"LXIII",2010
"Chiapas","PVEM",3,3,"LXIV",2010
"Durango","PVEM",NA,1,"LXV",2010
"Puebla","PVEM",1,2,"LVIII",2011
"Tlaxcala","PVEM",1,NA,"LX",2011
"Morelos","PVEM",1,1,"LII",2012
"Coahuila","PVEM",1,1,"LIX",2012
"Sonora","PVEM",1,2,"LX",2012
"Zacatecas","PVEM",NA,2,"LXI",2013
"Oaxaca","PVEM",1,NA,"LXII",2013
"Veracruz","PVEM",4,1,"LXIII",2013
"Chihuahua","PVEM",1,1,"LXIV",2013
"Durango","PVEM",NA,1,"LXVI",2013
"Morelos","PVEM",1,1,"LIII",2015
"Coahuila","UDC",NA,2,"LV",2000
"Coahuila","UDC",NA,2,"LVI",2003
"Coahuila","UDC",NA,2,"LVII",2006
"Coahuila","UDC",NA,2,"LVIII",2009
"Coahuila","UDC",NA,1,"LIX",2012
"Oaxaca","UP",NA,1,"LIX",2004
"Oaxaca","UP",NA,1,"LX",2007
"Oaxaca","UP",NA,1,"LXI",2010
"Oaxaca","UP",NA,1,"LXII",2013
