"partido","MR","RP","legis","year"
"CAC",3,4,"LIX",2004
"CONV",NA,2,"LX",2007
"CVA",NA,2,"LIX",2004
"PAN",15,3,"LIX",2004
"PAN",7,3,"LVIII",2001
"PAN",7,2,"LX",2007
"PRD",NA,1,"LVIII",2001
"PRD",NA,1,"LX",2007
"PRI",9,3,"LVIII",2001
"PRI",11,3,"LX",2007
"PT",1,1,"LVIII",2001
"PVEM",1,1,"LVIII",2001
"PVEM",NA,1,"LX",2007
