Nombre,Paterno,Materno,Suplente,Legislatura,Partido,Distrito,Municipio
"Patricia Gloria",Jurado,Alonso,"Mariela Torres Téllez",LXV,PAN,I,"Nuevo Casas Grandes"
"María Isela",Torres,Hernández,"María Luisa Rocha Cervantes",LXV,PRI,II,Juárez
"Rocío Grisel",Sáenz,Ramírez,"Rocío Hernández Terán",LXV,PRI,III,Juárez
"Víctor Manuel",Uribe,Montoya,"Rafael Gallardo Ruiz ",LXV,PAN,IV,Juárez
"Gabriel Ángel",García,Cantú,"Eduardo Melesio Gutiérrez Holguín",LXV,PAN,V,Juárez
Gustavo,Alfaro,Ontiveros,"Neftali Ramírez Cruz",LXV,PAN,VI,Juárez
"Laura Mónica",Marín,Franco,"Ana María García Sánchez",LXV,PAN,VII,Juárez
Maribel,Hernández,Martínez,"Irene Petra Enríquez Saucedo",LXV,PAN,VIII,Juárez
"Liliana Araceli",Ibarra,Rivera,"Jacqueline Ponce Carrasco",LXV,PAN,IX,Juárez
Adriana,Fuentes,Téllez,"Hilda Angélica Falliner Silva",LXV,PRI,X,Juárez
Jesús,Villarreal,Macías,"Sabino González Carbajal",LXV,PAN,XI,Meoqui
"Nadia Xóchitl",Siqueiros,Loera,"Rosa María Breach Velducea",LXV,PAN,XII,Chihuahua
René,Frías,Bencomo,"Javier Antonio Enríquez Orozco",LXV,PNA,XIII,Guerrero
"Francisco Javier",Malaxechevarría,González,"Severo Trujano Trevizo",LXV,PAN,XIV,Cuauhtémoc
"Jorge Carlos",Soto,Prieto,"José Antonio Chávez Rodríguez",LXV,PAN,XV,Chihuahua
"Miguel Francisco","La Torre",Sáenz,"Omar Payan Montes",LXV,PAN,XVI,Chihuahua
Blanca,Gámez,Gutiérrez,"Lucero de Lourdes Espindola  De la Vega",LXV,PAN,XVII,Chihuahua
"Carmen Rocío",González,Alonso,"Carolina Orozco Zubiate",LXV,PAN,XVIII,Chihuahua
"Jesús Alberto",Valenciano,García,"Rogelio López Ginez",LXV,PAN,XIX,Delicias
"Citlalic Guadalupe",Portillo,Hidalgo,"Zayra Gabriela Abes Campos",LXV,PAN,XX,Camargo
"Diana Karina",Velázquez,Ramírez,"Andrea Imelda Muñoz Aranda",LXV,PRI,XXI,"Hidalgo del Parral"
"Imelda Irene",Beltrán,Amaya,"Ana Cely Palma Loya",LXV,PRI,XXII,Guachochi
Crystal,Tovar,Aragón,,LXV,PRD,"Representación Proporcional",
Alejandro,Gloria,González,"Hernán Rivera Cavazos",LXV,PVEM,"Representación Proporcional",
Rubén,Aguilar,Jiménez,"Rubén Aguilar Gil",LXV,PT,"Representación Proporcional",
"Miguel Alberto",Vallejo,Lozano,"Alan Jesús Falomir Sáenz",LXV,MC,"Representación Proporcional",
"María Antonieta",Mendoza,Mendoza,"Rosa María Hernández Madero",LXV,PNA,"Representación Proporcional",
Pedro,Torres,Estrada,"Juan Pablo Delgado Rentería",LXV,MORENA,"Representación Proporcional",
Israel,Fierro,Terrazas,"Alberto Benítez Espinoza",LXV,PES,"Representación Proporcional",
Hever,Quezada,Flores,"Ever Oswaldo Orrantia Ceniceros",LXV,PVEM,"Representación Proporcional",
Héctor,Vega,Nevárez,"  ",LXV,PT,"Representación Proporcional",
Martha,Rea,"y Pérez","Fadia Barraza Acosta",LXV,PNA,"Representación Proporcional",
Leticia,Ortega,Máynez,"Stephanie García  González",LXV,MORENA,"Representación Proporcional",
"Hilda Angélica",Falliner,Silva,"  ",LXV,PRI,X,Juárez
Stephanie,"García ",González,"  ",LXV,MORENA,"Representación Proporcional",
"Lucero de Lourdes","Espindola ","De la Vega","  ",LXV,PAN,XVII,Chihuahua
"Severo ","Trujano ",Trevizo,"  ",LXV,PAN,XIV,Cuauhtémoc
"Petra Irene","Enríquez ",Saucedo,"  ",LXV,PAN,VIII,Juárez
"Ever Oswaldo","Orrantia ",Ceniceros,"  ",LXV,PVEM,"Representación Proporcional",
"Javier Antonio","Enríquez ",Orozco,"  ",LXV,PNA,XIII,Guerrero
"Ana María","García ",Sánchez,"  ",LXV,PAN,VII,Juárez
"Omar ","Payan ",Montes,,LXV,PAN,XVI,Chihuahua
