"Partido","MR","RP","legis"
"Convergencia",NA,3,"LVIII"
"PAN",6,7,"LIX"
"PAN",6,6,"LVII"
"PAN",5,8,"LVIII"
"PAN",5,10,"LX"
"PAN",1,8,"LXI"
"PANAL",2,NA,"LX"
"PANAL",NA,2,"LXI"
"PNA",NA,1,"LX"
"PRD",1,5,"LIX"
"PRD",NA,3,"LVII"
"PRD",NA,1,"LVIII"
"PRD",NA,2,"LXI"
"PRI",14,2,"LIX"
"PRI",15,4,"LVII"
"PRI",16,2,"LVIII"
"PRI",14,2,"LX"
"PRI",20,NA,"LXI"
"PT",NA,1,"LVII"
"PT",NA,2,"LXI"
"PVEM",NA,1,"LX"
