Distrito,Municipio,Diputado Propietario,Diputado Suplente,Partido,legis
XI,Carmen,GLoría Aguilar de Ita Avimael López Miranda,,PAN,LIX
XII,Carmen,Álvaro Jiménez Flores Guadalupe Capilla Gómez,,PAN,LIX
XIII,Carmen,Luis Eduardo Vera Vera Elidia del Pilar Acosta Vera,,PRD,LIX
XIV,Carmen,Elia Martínez Zamorano Joaquín Aquino Herera,,PRI,LIX
XV,Champotón,Eudelio Hinojosa Rebolledo Nidia del Jesús Alpuche,,PAN,LIX
XVI,Champotón,Diego Pablo Palomo Ku Norma Vianey Perdomo Tun,,PAN,LIX
XVII,Calkiní,Carlos Eduardo Sanguino Carril Lauro Castulo Escobar González,,PRI,LIX
XVIII,Hopelchén,Melvin Carrillo Chávez Pablo Juan Tolentino GArcía,,PRI,LIX
XIX,Hecelchakán,Modesto Arcangel Pech Uitz María Guadalupe Balam Naal,,PRI,LIX
XX,Palizada,Jorge Isaac Brown Filigrana Doris Dey Cruz Mateo,,PRI,LIX
XXI,Tenabo,Daniel Edilberto Calan Canal Rosa María Pech Baas,,PRI,LIX
,,Ramón Dimas Hernández,,PAN,LIX
,,Mario Enrique Pacheco Ceballos,,PAN,LIX
,,Faustino Ramírez Tun,,PAN,LIX
,,Nelly del Carmen Márquez Zapata,,PAN,LIX
,,Yolanda del Carmen Montalvo López,,PAN,LIX
,,Baudelio Silverio Cruz Coronel,,PAN,LIX
,,Fermín de Jesús Chuck Uicab,,PAN,LIX
,,Carlos Felipe Ortega Rubio,,PRI,LIX
,,Humberto Javier Castro Buenfil,,PRI,LIX
,,Arturo del Carmen Moo Cahuich,,PRD,LIX
,,Gaspar Alberto Cutz Can,,PRD,LIX
,,María de los Ángeles López Paat,,PRD,LIX
,,María del Carmen Pérez López,,PRD,LIX
,,José Rene Maldonado Sandoval,,PRD,LIX
I,Campeche,José Benedicto Barony Blanquet.,Rosa María Rafful Montero,PANAL,LX
II,Campeche,Landy Margarita Berzunza Novelo,Edwin Jesús Carrillo Tacu,PRI,LX
III,Campeche,José Antonio Richaud Pinto.,Damaris del Jesús Can Ballote,PRI,LX
IV,Campeche,Martha Albores Avendaño,Sergio Renan Flores Gutiérrez,PRI,LX
V,Campeche,Ana Martha Escalante Castillo,Carlos Enrique Estrella Estrella,PRI,LX
VI,Campeche,Ramón Cuauhtemoc Santini Cobos,Lisbeth del Pilar Rosado Montero,PRI,LX
VII,Campeche,Jorge Inés Te Chan,Martha Inés Avilez Ramírez,PRI,LX
VIII,Carmen,Gloria del Carmen Gutiérrez Ocampo,Jaerhs José Echavarria Martínez,PRI,LX
IX,Carmen,Nicolás Hernández Ynurreta Mancera,Yara Teresa Notario Pérez,PAN,LX
X,Carmen,Carlos Alberto Arjona Gutiérrez,Karla Vianey Sánchez Vega,PRI,LX
XI,Carmen,Rocío Adriana Abreu Artiñano,Venancio Javier Rullan Morales,PRI,LX
XII,Carmen,Domitila Rico Camacho,Ignacio Vidal Montejo,PANAL,LX
XIII,Carmen,Fernando Manuel Caballero Buenfil,Concepción Díaz Sánchez,PRI,LX
XIV,Carmen,Candelario Salomón Cruz,Marina García Méndez,PRI,LX
XV,Champotón,Netzahualcoyótl González Hernández,Guadalupe del Carmen González Sosa,PAN,LX
XVI,Champotón,Emmanuel Guadalupe Vera Olivares,María del Socorro Cardozo Aguilar,PRI,LX
XVII,Calkiní,Silvia María Avilés Rivera,Carlos Humberto Contreras Ortíz,PRI,LX
XVIII,Hopelchén,Martín Osvaldo Tzel Cámara,Angélica del Carmen González Chí,PAN,LX
XIX,Hecelchakán,Fernando Chan Chí,Josefina Caamal Haas,PAN,LX
XX,Palizada,José Pilar Zavala Delgado,Eneida Esperanza Luna Vera,PRI,LX
XXI,Tenabo,Guadalupe del Carmen Canché Molina,Didauri Maribel Chi Mukul,PAN,LX
,,Luis Alberto Calderón Barrera.,,PAN,LX
,,José Luis Cornelio Sosa.,,PAN,LX
,,Lourdes de los Ángeles Solís Sierra.,,PAN,LX
,,María Asunción Caballero May.,,PAN,LX
,,Roger Castillo Valencia.,,PAN,LX
,,Hilda Bautista Priego.,,PAN,LX
,,José Manuel Cambranis Caballero.,,PAN,LX
,,Elier Humberto Gamboa Vela.,,PAN,LX
,,Manuel Estrella González.,,PAN,LX
,,Patricia Verónica Acosta Canul.,,PAN,LX
,,Jorge Luis González Curi,,PRI,LX
,,Víctor Manuel Méndez Lanz,,PRI,LX
,,Enrique Kú Herrera,,PNA,LX
,,Carlos Martínez Cisneros,,PVEM,LX
I,Campeche,Miguel Ángel García Escalante,Rosa Esther Hurtado Ruiz,PRI,LXI
II,Campeche,José Manuel Manrique Mendoza,Georgina Zapata Cortés,PRI,LXI
III,Campeche,Marcos Alberto Pinzón Charles,Ilsa Beatriz Cervera Echeverría,PRI,LXI
IV,Campeche,José Eduardo Bravo Negrin,Erika Chapa Ortiz,PRI,LXI
V,Campeche,Pablo Hernán Sánchez Silva,Erendira Rebolledo May,PRI,LXI
VI,Campeche,Edgar Román Hernández Hernández,Alejandrina Moreno Barona,PRI,LXI
VII,Campeche,María Rafaela Santamaría Blum,Wilbert Ariel Ruiz Poot,PRI,LXI
VIII,Carmen,Jorge José Saénz de Miera Lara,Liliana del Carmen Rivas Fernandez,PRI,LXI
IX,Carmen,Adda Luz Ferrer González,Alejandro Vicencio Franco,PRI,LXI
X,Carmen,Adolfo Sebastian Magaña Vadillo,Laura del Ángel Suarez Torres,PRI,LXI
XI,Carmen,Maria Dinorah Hurtado Sansores,Raúl Humberto Machain Cervantes,PRI,LXI
XII,Carmen,Facundo Aguilar López,Aurora Candelaria Ceh Reyna,PAN,LXI
XIII,Carmen,Humberto Manuel Cauich Jesús,Sandra Margarita Aguileta Lugo,PRI,LXI
XIV,Carmen,Rigoberto Figueroa Ortíz,Cecilia Borjas Rayo,PRI,LXI
XV,Champotón,Raúl Armando Uribe Haydar,Nadia Lizet Moreno Chamiz,PRI,LXI
XVI,Champotón,Noel Juárez Castellanos,Isabel Antonia Noh Villarino,PRI,LXI
XVII,Calkiní,José Adalberto Canto Sosa,Saire Guadalupe Avila Interian,PRI,LXI
XVIII,Hopelchén,Jesús Antonio Quiñones Loeza,María Candelaria Kanter Sansores,PRI,LXI
XIX,Hecelchakán,Carlos Martín Ruiz Ortega,Sofia Balam Avila,PRI,LXI
XX,Palizada,Ramón Gabriel Ochoa Peña,Atilana del Chuina Luna Reyes,PRI,LXI
XXI,Tenabo,Luis Humberto Castillo Valenzuela,Leticia Lópzul,PRI,LXI
,,Gloria Aguilar de Ita,,PAN,LXI
,,Yolanda Guadalupe Valladares Valle,,PAN,LXI
,,Juan Carlos Lavalle Pinzón,,PAN,LXI
,,Jorge Alberto Nordhausen Carrizales,,PAN,LXI
,,Ana Paola Ávila Ávila,,PAN,LXI
,,Yolanda del Carmen Montalvo López,,PAN,LXI
,,Francisco Elías Romellón Herrera,,PAN,LXI
,,Javier Ortega Vila,,PAN,LXI
,,José Ismael Enrique Canul Canul,,PRD,LXI
,,Teida García Córdova,,PRD,LXI
,,Manuel Jesús Zavala Salazar,,PT,LXI
,,Ana María López Hernández,,PT,LXI
,,Mario Trinidad Tun Santoyo,,PANAL,LXI
,,Oscar Eduardo Uc Dzul,,PANAL,LXI
