"partido","MR","PR","legis","year"
"MC",NA,1,"LXII",2004
"PAN",5,3,"LXII",2004
"PRD",6,3,"LXII",2004
"PRI",11,6,"LXII",2004
"PT",1,1,"LXII",2004
"PVEM",1,2,"LXII",2004
"Morena",NA,3,"LXVI",2015
"Mover",NA,3,"LXVI",2015
"PACHU",NA,2,"LXVI",2015
"PAN",NA,2,"LXVI",2015
"PCU",1,NA,"LXVI",2015
"PRD",NA,2,"LXVI",2015
"PRI",7,3,"LXVI",2015
"PVEM",16,1,"LXVI",2015
