"partido","MR","PR","legis","year"
"Morena",5,7,"LXIII",2016
"PAN",2,3,"LXIII",2016
"PES",1,NA,"LXIII",2016
"PRD",3,2,"LXIII",2016
"PRI",13,2,"LXIII",2016
"PT",NA,2,"LXIII",2016
"PUP",NA,1,"LXIII",2016
"PVEM",1,NA,"LXIII",2016
"MI",1,1,"LXIV",2019
"Morena",18,8,"LXIV",2019
"PAN",NA,1,"LXIV",2019
"PES",2,NA,"LXIV",2019
"PRI",1,5,"LXIV",2019
"PT",3,NA,"LXIV",2019
"PVEM",NA,2,"LXIV",2019
