"partido","MR","PR","legis","year"
"MC",NA,1,"LXII",2018
"MORENA",11,1,"LXII",2018
"PAN",NA,3,"LXII",2018
"PES",5,NA,"LXII",2018
"PNA",1,1,"LXII",2018
"PRI",NA,5,"LXII",2018
"PT",4,NA,"LXII",2018
"PVEM",NA,1,"LXII",2018
