"partido","MR","PR","legis","year"
"Morena",1,5,"LXII",2016
"PAN",1,2,"LXII",2016
"PES",NA,1,"LXII",2016
"PNA",3,NA,"LXII",2016
"PRD",1,1,"LXII",2016
"PRI",11,1,"LXII",2016
"PT",NA,2,"LXII",2016
"PVEM",1,NA,"LXII",2016
"Morena",5,4,"LXIII",2018
"PAN",2,2,"LXIII",2018
"PES",2,NA,"LXIII",2018
"PNA",1,1,"LXIII",2018
"PRD",2,1,"LXIII",2018
"PRI",4,2,"LXIII",2018
"PT",1,1,"LXIII",2018
"PVEM",1,1,"LXIII",2018
