"partido","MR","PR","legis","year"
"MC",NA,3,"LXXIV",2015
"PAN",16,3,"LXXIV",2015
"PNA",NA,1,"LXXIV",2015
"PRI",10,6,"LXXIV",2015
"PT",NA,1,"LXXIV",2015
"PVEM",NA,2,"LXXIV",2015
