"partido","MR","PR","legis","year"
"JPV",4,NA,"LXIV",2016
"Morena",5,5,"LXIV",2016
"PAN",15,8,"LXIV",2016
"PNA",1,NA,"LXIV",2016
"PRD",3,1,"LXIV",2016
"PRI",3,5,"LXIV",2016
"MC",2,NA,"LXV",2018
"Morena",19,10,"LXV",2018
"PAN",7,6,"LXV",2018
"PES",1,NA,"LXV",2018
"PRD",1,NA,"LXV",2018
"PRI",NA,3,"LXV",2018
"PVEM",NA,1,"LXV",2018
