"partido","MR","PR","legis","year"
"PAN",3,4,"LX",2012
"PRD",NA,2,"LX",2012
"PRI",12,3,"LX",2012
"PVEM",NA,1,"LX",2012
"Morena",NA,1,"LXI",2015
"PAN",2,6,"LXI",2015
"PNA",NA,1,"LXI",2015
"PRD",NA,1,"LXI",2015
"PRI",13,NA,"LXI",2015
"PVEM",NA,1,"LXI",2015
"MC",1,1,"LXII",2018
"Morena",1,3,"LXII",2018
"PAN",3,3,"LXII",2018
"PNA",NA,1,"LXII",2018
"PRD",NA,1,"LXII",2018
"PRI",10,NA,"LXII",2018
"PVEM",NA,1,"LXII",2018
