"partido","MR","PR","legis","year"
"MC",NA,1,"LXIII",2019
"Morena",10,2,"LXIII",2019
"PAN",NA,2,"LXIII",2019
"PES",2,NA,"LXIII",2019
"PNA",NA,1,"LXIII",2019
"PRI",NA,1,"LXIII",2019
"PT",1,3,"LXIII",2019
"PVEM",NA,1,"LXIII",2019
